experiment,head,class,precision,recall,f1_score,support
B_Weighted_Loss_Only,urgency,MEDIUM,0.5729,0.6264,0.5984,182
B_Weighted_Loss_Only,emotion,ANGER,0.2619,0.5238,0.3492,21
B_Weighted_Loss_Only,emotion,DISGUST,0.3421,0.5417,0.4194,24
B_Weighted_Loss_Only,emotion,FEAR,1.0,0.0417,0.08,24
B_Weighted_Loss_Only,emotion,JOY,0.3913,0.3333,0.36,27
B_Weighted_Loss_Only,emotion,NEUTRAL,0.3077,0.2222,0.2581,18
B_Weighted_Loss_Only,emotion,SADNESS,0.2273,0.2,0.2128,25
B_Weighted_Loss_Only,emotion,SURPRISE,0.3333,0.3333,0.3333,21
C_Sampler_Only,domain,FINANCIAL,1.0,1.0,1.0,263
C_Sampler_Only,domain,GENERAL,1.0,1.0,1.0,80
C_Sampler_Only,domain,MEDICAL,1.0,1.0,1.0,72
C_Sampler_Only,subdomain,GENERAL_TOPIC,0.6667,0.6111,0.6377,36
C_Sampler_Only,subdomain,HEALTHCARE,0.1955,0.4,0.2626,65
C_Sampler_Only,subdomain,INDUSTRIAL_GOODS,0.2717,0.2778,0.2747,90
C_Sampler_Only,subdomain,MEDICAL_SPECIALTY,0.641,0.6944,0.6667,36
C_Sampler_Only,subdomain,TECHNOLOGY,0.1579,0.0556,0.0822,108
C_Sampler_Only,subdomain,USER_INTERACTION_TYPE,1.0,1.0,1.0,80
C_Sampler_Only,intent,BUSINESS_OPERATIONS_AND_HEALTH,0.1209,0.3793,0.1833,29
C_Sampler_Only,intent,BUSINESS_STRATEGY_AND_PROJECT_PLANNING,0.2,0.2593,0.2258,27
C_Sampler_Only,intent,COMMUNICATION_EMAIL_CALL_AND_CONTACTS,0.2353,0.2222,0.2286,18
C_Sampler_Only,intent,FINANCIAL_OPERATIONS_RISK_AND_COMPLIANCE,0.2222,0.0541,0.087,37
C_Sampler_Only,intent,FINANCIAL_PERFORMANCE_AND_SEGMENT_ANALYSIS,0.2917,0.3111,0.3011,45
C_Sampler_Only,intent,FINANCIAL_REPORTING_AND_OUTLOOK,0.2941,0.0862,0.1333,58
C_Sampler_Only,intent,GENERAL_ASSISTANCE_AND_QA,0.52,0.3611,0.4262,36
C_Sampler_Only,intent,MARKET_AND_COMPETITIVE_OUTLOOK,0.0769,0.0714,0.0741,14
C_Sampler_Only,intent,MEDIA_ENTERTAINMENT_AND_UTILITY,0.7083,0.85,0.7727,40
C_Sampler_Only,intent,MEDICAL_ADVICE_AND_TREATMENT,0.6809,0.9143,0.7805,35
C_Sampler_Only,intent,MEDICAL_SYMPTOM_AND_CONDITION,0.8889,0.6667,0.7619,24
C_Sampler_Only,intent,MEDICATION_DIAGNOSTICS_AND_CLINICAL_RESEARCH,0.2667,0.25,0.2581,16
C_Sampler_Only,intent,PRODUCT_AND_TECHNOLOGY_MANAGEMENT,0.1053,0.1053,0.1053,19
C_Sampler_Only,intent,TIME_LOCATION_TRAVEL_AND_LOGISTICS,0.6154,0.4706,0.5333,17
C_Sampler_Only,entity_type,BUSINESS_GOVERNANCE_AND_RELATIONS,0.1667,0.1111,0.1333,9
C_Sampler_Only,entity_type,BUSINESS_OPERATIONS_AND_LOGISTICS,0.1493,0.3704,0.2128,27
C_Sampler_Only,entity_type,COMMUNICATION_AND_INTERACTION,0.5,0.1538,0.2353,13
C_Sampler_Only,entity_type,CORPORATE_FINANCIAL_PERFORMANCE,0.0,0.0,0.0,18
C_Sampler_Only,entity_type,DIAGNOSTIC_TEST_OR_RESULT,0.5,0.3333,0.4,9
C_Sampler_Only,entity_type,ENTERTAINMENT_AND_MEDIA,0.7778,0.7,0.7368,10
C_Sampler_Only,entity_type,FINANCIAL_METRICS_DETAIL,0.4898,0.3529,0.4103,68
C_Sampler_Only,entity_type,FINANCIAL_STRATEGY_AND_PLANNING,0.3333,0.0541,0.093,37
C_Sampler_Only,entity_type,GENERAL_BUSINESS_ADMINISTRATION,0.4643,0.4643,0.4643,28
C_Sampler_Only,entity_type,GENERAL_INFORMATION_AND_MISCELLANEOUS,0.4186,0.4186,0.4186,43
C_Sampler_Only,entity_type,MARKET_AND_INDUSTRY_ANALYSIS,0.1364,0.3529,0.1967,34
C_Sampler_Only,entity_type,MEDICAL_CONDITION_OR_CLINICAL_STATE,0.2581,0.6154,0.3636,13
C_Sampler_Only,entity_type,MEDICAL_SYMPTOM,0.8571,0.6923,0.766,26
C_Sampler_Only,entity_type,MEDICATION_OR_DRUG,0.375,0.25,0.3,12
C_Sampler_Only,entity_type,PERSONAL_AND_DAILY_LIFE,0.0,0.0,0.0,2
